,OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
0,1/1/2015,9/21/2001,SO45080,332,14657,1,1,1
1,1/1/2015,12/5/2001,SO45079,312,29255,4,1,1
2,1/1/2015,10/29/2001,SO45082,350,11455,9,1,1
3,1/1/2015,11/16/2001,SO45081,338,26782,6,1,1
4,1/2/2015,12/15/2001,SO45083,312,14947,10,1,1
5,1/2/2015,10/12/2001,SO45084,310,29143,4,1,1
6,1/2/2015,12/18/2001,SO45086,314,18747,9,1,1
7,1/2/2015,10/9/2001,SO45085,312,18746,9,1,1
8,1/3/2015,10/3/2001,SO45093,312,18906,9,1,1
9,1/3/2015,9/29/2001,SO45090,310,29170,4,1,1
10,1/3/2015,12/11/2001,SO45088,345,11398,10,1,1
11,1/3/2015,10/24/2001,SO45092,313,18899,9,1,1
12,1/3/2015,12/16/2001,SO45089,351,25977,4,1,1
13,1/3/2015,10/26/2001,SO45091,314,18909,9,1,1
14,1/3/2015,9/11/2001,SO45087,350,11388,10,1,1
15,1/3/2015,9/11/2001,SO45094,310,22785,6,1,1
16,1/4/2015,10/30/2001,SO45096,312,12483,7,1,1
17,1/4/2015,10/30/2001,SO45097,313,29151,4,1,1
18,1/4/2015,9/15/2001,SO45098,310,29167,1,1,1
19,1/4/2015,12/7/2001,SO45095,344,11394,10,1,1
20,1/4/2015,12/20/2001,SO45099,312,29174,1,1,1
21,1/5/2015,9/19/2001,SO45101,313,22748,6,1,1
22,1/5/2015,11/21/2001,SO45100,326,19428,8,1,1
23,1/5/2015,11/24/2001,SO45102,310,29274,4,1,1
24,1/6/2015,10/17/2001,SO45104,310,29142,4,1,1
25,1/6/2015,10/1/2001,SO45108,310,22975,6,1,1
26,1/6/2015,11/21/2001,SO45105,312,22765,6,1,1
27,1/6/2015,9/24/2001,SO45103,310,29140,1,1,1
28,1/6/2015,11/12/2001,SO45106,348,19987,6,1,1
29,1/6/2015,12/14/2001,SO45107,312,29275,4,1,1
30,1/7/2015,11/5/2001,SO45109,311,14937,10,1,1
31,1/7/2015,9/17/2001,SO45112,324,20558,10,1,1
32,1/7/2015,11/9/2001,SO45111,326,25713,9,1,1
33,1/7/2015,12/5/2001,SO45110,311,18710,9,1,1
34,1/8/2015,12/14/2001,SO45119,314,18740,9,1,1
35,1/8/2015,11/21/2001,SO45117,342,14727,1,1,1
36,1/8/2015,11/24/2001,SO45116,311,29204,1,1,1
37,1/8/2015,11/1/2001,SO45114,310,29146,1,1,1
38,1/8/2015,9/20/2001,SO45115,348,25984,4,1,1
39,1/8/2015,10/29/2001,SO45118,314,18722,9,1,1
40,1/8/2015,11/11/2001,SO45113,313,29141,4,1,1
41,1/8/2015,11/25/2001,SO45120,344,11751,9,1,1
42,1/9/2015,11/22/2001,SO45124,313,18725,9,1,1
43,1/9/2015,12/23/2001,SO45122,314,29236,4,1,1
44,1/9/2015,12/12/2001,SO45123,311,22971,6,1,1
45,1/9/2015,9/24/2001,SO45121,310,29169,1,1,1
46,1/10/2015,11/20/2001,SO45129,350,11759,9,1,1
47,1/10/2015,12/12/2001,SO45127,313,29158,1,1,1
48,1/10/2015,10/7/2001,SO45128,310,18726,9,1,1
