Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Sydney, NSW 2000, Australia",10/04/2021,81.1,59.8,72.1,,79.2,0,0,0,0,11.1,283.7,27.3,15,3.1,30.7,Clear
"Sydney, NSW 2000, Australia",10/05/2021,70.4,53.7,60.5,,,0,0,0,0,9.2,246,30,15,3.6,39.1,Clear
"Sydney, NSW 2000, Australia",10/06/2021,78.9,48.5,60.5,47.1,,0,0,0,0,5.9,197.9,17,15,14.7,44.9,Clear
"Sydney, NSW 2000, Australia",10/07/2021,81.4,52.4,61.7,,79.4,4.8,0,0,0,8.7,297.2,38,15,74.8,49.2,Partially cloudy
"Sydney, NSW 2000, Australia",10/08/2021,73.3,48.1,59,46.5,,4.8,0,0,0,5.4,189.5,16.1,15,43.9,47.2,Partially cloudy
"Sydney, NSW 2000, Australia",10/09/2021,77.4,49,60.9,,,4.8,0,0,0,4.1,239.8,11.6,15,42.2,51.8,Partially cloudy
"Sydney, NSW 2000, Australia",10/10/2021,83.6,52.4,65.5,,80.9,23.7,0.04,0,0,4.5,246.8,17.7,15,71.6,53.8,Partially cloudy
"Sydney, NSW 2000, Australia",10/11/2021,75.6,58.6,65.7,,,57,0.19,0,0,8.5,278,36.9,13.7,79.2,71.1,"Rain, Overcast"
"Sydney, NSW 2000, Australia",10/12/2021,66.3,54.2,60.1,,,47.5,0,0,0,6.9,176.1,21.8,15,64.9,55.5,Partially cloudy
"Sydney, NSW 2000, Australia",10/13/2021,63.4,57.1,60.1,,,47.5,0.12,0,0,4.8,112.1,13,11.1,96.5,74.3,Overcast
"Sydney, NSW 2000, Australia",10/14/2021,67.2,55.1,60.7,,,23.7,0.04,0,0,4.6,160.4,11.9,11.7,72.2,70.2,Partially cloudy
"Sydney, NSW 2000, Australia",10/15/2021,75.5,51,61.4,,,19,0,0,0,5.2,153.3,16.8,15,33.4,62.7,Partially cloudy
"Sydney, NSW 2000, Australia",10/16/2021,77.3,53.7,63.7,,,9.5,0.37,0,0,6.5,235.6,32,2.7,95.4,66,Overcast
"Sydney, NSW 2000, Australia",10/17/2021,58.9,53,55.6,,,19,0.5,0,0,11.7,156.8,31,3.9,90.8,73.3,Overcast
"Sydney, NSW 2000, Australia",10/18/2021,61.6,51.5,56.2,,,23.7,0.07,0,0,7.1,140.7,19.3,15,66.8,66.9,Partially cloudy
"Sydney, NSW 2000, Australia",10/19/2021,62.3,53.3,56.9,,,14.3,0.11,0,0,6.7,176.6,16.1,12.2,82.9,72.9,Overcast
