Date,USD,EUR,JPY,GBP,CAD,CHF,INR
31-01-1990,415.10,321.3,"59,972.30",247.1,492,623.8,7041.03
28-02-1990,407.70,316.2,"60,672.50",241.2,485.7,607.9,6957.44
30-03-1990,368.50,283.9,"57,987.10",223.7,431,550.8,6334.4
30-04-1990,367.80,280.7,"58,375.70",224.3,428.3,533.9,6379.27
31-05-1990,363.10,280.2,"55,420.90",216.5,426.2,520.1,6295.47
29-06-1990,352.20,265.9,"53,602.30",201.9,410.7,498.7,6140.54
31-07-1990,372.30,267.8,"54,393.80",200.2,429.8,501.9,6457.2
31-08-1990,387.80,278,"55,780.70",204.9,447.7,507.1,6783.83
28-09-1990,408.40,291.9,"56,458.80",218,471.4,530.3,7333.11
31-10-1990,379.50,262.6,"49,292.10",195.2,443.1,488,6895.03
30-11-1990,384.90,264.8,"51,237.20",198.4,449,491.5,6999.61
31-12-1990,386.20,265.7,"53,028.20",200.1,453.8,498.4,6948.86
31-01-1991,366.00,251.1,"48,101.60",186.3,426,460.1,6810.58
28-02-1991,362.70,256.1,"48,220.80",189.9,417.5,480.8,6917.02
29-03-1991,355.70,279.8,"50,208.20",204.5,411.3,517.4,6942.23
30-04-1991,357.80,282.5,"48,765.20",207.5,412.1,518.3,7226.59
31-05-1991,360.40,288.9,"49,902.40",212.1,412.8,534,7527.25
28-06-1991,368.40,308.5,"50,793.20",227.5,420.9,573.9,7785.63
31-07-1991,362.90,292.9,"49,851.50",215.3,418.5,553.4,9347.97
30-08-1991,347.40,280.8,"47,532.40",206.7,396.2,530.6,8953.66
30-09-1991,354.90,273.6,"47,121.00",202.5,401.2,514.2,9120.51
31-10-1991,357.50,276.7,"46,668.50",205.1,401.1,523.6,9241.39
29-11-1991,366.30,277.9,"47,629.40",207.5,415.4,526.1,9466.73
31-12-1991,353.20,250.3,"44,151.40",188.8,408.5,478.8,9080.55
31-01-1992,354.10,264.7,"44,460.30",197.8,415.5,505.9,9182.86
28-02-1992,353.10,269,"45,619.60",201,417.5,524,9210.34
31-03-1992,341.70,261.7,"45,481.30",196.9,406.8,512.9,9913.34
30-04-1992,336.40,258,"44,875.10",189.6,402,510.4,9615.68
29-05-1992,337.50,251.3,"43,087.10",184.5,406.9,491.8,9669.22
30-06-1992,343.40,243.1,"43,240.70",180.4,410.8,472.1,9838.49
31-07-1992,357.90,246.8,"45,570.00",186.4,424.6,472,10174.5
31-08-1992,340.00,224.5,"41,899.60",171.5,406.8,428,9699.96
30-09-1992,349.00,241.3,"41,874.10",195.9,435.5,431,9903.84
30-10-1992,339.30,255,"41,795.60",217.1,421,467.9,9632.52
30-11-1992,334.20,261.4,"41,568.00",220.8,429.8,480.3,9425.57
31-12-1992,332.90,266.7,"41,576.20",219.9,425.3,487.8,9639.3
29-01-1993,330.50,264.3,"41,222.90",222.2,419.5,491.1,9642.39
26-02-1993,327.60,270.5,"38,676.60",230.2,409.2,500.2,9885.56
31-03-1993,337.80,275,"38,817.30",224.4,424.5,504.9,10539.89
30-04-1993,354.30,281.1,"39,404.30",225.8,450.8,508.1,11114.5
31-05-1993,377.50,300.7,"40,441.10",241.8,479.9,535,11780.25
30-06-1993,378.50,321.1,"40,417.00",253.4,485.5,571.4,11869.92
30-07-1993,401.80,354.8,"42,136.40",270.5,515.4,611.4,12585.46
31-08-1993,371.60,319,"38,903.50",249.8,490.7,550.1,11702.27
30-09-1993,355.50,298.7,"37,737.00",237.7,474.8,508.1,11158.97
29-10-1993,369.60,318.9,"40,092.80",248.6,488.8,548.9,11602.67
30-11-1993,370.90,327.9,"40,475.40",249.9,496.5,556.5,11630.44
31-12-1993,391.80,348.2,"43,592.90",264.8,517.1,580.1,12252.64
31-01-1994,377.90,335.2,"41,194.50",252.1,501.2,554.2,11853.7
28-02-1994,381.60,333,"39,738.50",256.8,515.9,544.9,11967.32
31-03-1994,389.20,331,"39,991.60",262.2,538.1,548.3,12209.6
29-04-1994,376.50,317.5,"38,204.00",248.3,520.1,529.8,11808.3
31-05-1994,387.60,325.3,"40,565.70",256.4,537.4,543.6,12159.41
30-06-1994,388.30,317.6,"38,004.20",251.6,532.3,515.5,12085.7
29-07-1994,384.00,313.4,"38,468.40",249.9,530.7,516.7,12046.48
31-08-1994,385.80,313,"38,642.40",251.1,529.1,513.1,12100.5
30-09-1994,394.90,314.8,"39,077.30",250.4,529.6,508.5,12383.17
31-10-1994,383.90,298.4,"37,215.40",235.4,519.2,482.9,12044.15
30-11-1994,383.10,311.1,"37,909.10",244.8,526.9,509,12027.8
30-12-1994,383.30,308.8,"38,236.90",245,537.6,501.6,12022.09
31-01-1995,374.90,297.3,"37,096.30",236.2,529.9,478.4,11762.48
28-02-1995,376.40,293.6,"36,397.90",238.2,523.7,467.2,11828.84
31-03-1995,392.00,291.4,"33,868.80",240.7,549.9,441.4,12314.67
28-04-1995,389.80,291.5,"32,746.80",242.2,530.4,445.1,12250.82
31-05-1995,384.30,289.9,"32,529.10",241.9,526.1,448.7,12076.62
30-06-1995,387.10,287.1,"32,860.50",243.3,531.8,445.9,12153.36
31-07-1995,383.40,280.7,"33,750.10",239.6,526.1,439.5,12042.93
31-08-1995,382.40,295,"37,451.20",246.8,513.6,461.1,12179.75
29-09-1995,384.00,289,"37,881.60",242.6,517.3,441.2,13027.2
31-10-1995,382.70,285.6,"39,124.00",242.5,514.7,434.9,13086.63
30-11-1995,387.80,294.6,"39,373.30",253.6,526.6,455.2,13532.27
29-12-1995,387.00,290.7,"39,921.00",249.3,527.8,445.3,13608.85
31-01-1996,405.60,314.8,"43,359.40",268.4,558,490.8,14776.21
29-02-1996,400.70,306.5,"42,136.40",261.7,549.6,480.2,13892.53
29-03-1996,396.40,304.5,"42,330.20",259.7,540,471.8,13515.52
30-04-1996,391.30,308.7,"40,990.60",260.8,532.8,487.1,13597.67
31-05-1996,390.60,307,"42,218.40",252.1,535.5,489.1,13680.96
28-06-1996,382.00,298.6,"41,899.70",245.9,521.7,478.2,13457.86
31-07-1996,385.30,293.5,"41,121.10",247.5,529.6,461.2,13697.4
30-08-1996,386.50,294.9,"41,968.50",247.3,528.8,462.8,13784.67
30-09-1996,379.00,296.1,"42,211.10",242.4,516.3,475.1,13511.34
31-10-1996,379.50,294.3,"43,164.30",233.1,509,477.7,13510.19
29-11-1996,371.30,291.8,"42,253.90",221,500.4,483.5,13262.82
31-12-1996,369.30,290.5,"42,858.80",215.8,506.1,495.8,13228.38
31-01-1997,345.50,288.7,"41,943.70",215.6,465.8,491.7,12394.81
28-02-1997,358.60,310.1,"43,279.40",219.8,490.2,528.9,12866.56
31-03-1997,348.20,297.5,"43,104.40",212,481,501.5,12489.88
30-04-1997,340.20,300.8,"43,168.40",209.6,475.4,501.2,12162.06
30-05-1997,345.60,301.6,"40,272.80",211.3,476.7,488.9,12363.83
30-06-1997,334.60,296.9,"38,282.50",201,461.5,487.7,11976.88
31-07-1997,326.40,305.2,"38,639.80",199.3,451.1,493.5,11649.05
