Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType,,,
19/06/2019,1,Avalon Beach,2107,1210000,4,2,2,house,,,
13/06/2019,2,Avalon Beach,2107,2250000,4,3,4,house,,,
7/06/2019,3,Whale Beach,2107,2920000,3,3,2,house,,,
28/05/2019,4,Avalon Beach,2107,1530000,3,1,2,house,,,1
22/05/2019,5,Whale Beach,2107,8000000,5,4,4,house,,,2147483647
10/05/2019,6,Bilgola Plateau,2107,1610000,4,2,2,house,,,
13/04/2019,7,Avalon Beach,2107,1510000,3,1,2,house,,,
11/04/2019,8,Avalon Beach,2107,1500000,5,4,4,house,,,1
11/04/2019,9,Avalon Beach,2107,1400000,3,1,2,house,,,
9/04/2019,10,Avalon Beach,2107,1210000,3,2,2,house,,,
6/04/2019,11,Avalon Beach,2107,2186000,4,2,2,house,,,
30/03/2019,12,Avalon Beach,2107,1425000,6,2,2,house,,,
18/03/2019,13,Avalon Beach,2107,2300000,4,2,3,house,,,
16/03/2019,14,Bilgola Plateau,2107,1425000,4,3,2,house,,,
15/03/2019,15,Avalon Beach,2107,1400000,4,3,3,house,,,
9/03/2019,16,Avalon Beach,2107,2420000,5,3,3,house,,,
21/02/2019,17,Avalon Beach,2107,1645000,4,2,3,house,,,
20/02/2019,18,Avalon Beach,2107,1285000,3,1,2,house,,,
5/02/2019,19,Avalon Beach,2107,1700000,3,2,3,house,,,
25/01/2019,20,Avalon Beach,2107,1325000,4,2,2,house,,,
21/12/2018,21,Avalon Beach,2107,1020000,2,1,1,house,,,
19/12/2018,22,Avalon Beach,2107,2040000,4,2,2,house,,,
19/12/2018,23,Avalon Beach,2107,1359000,4,3,2,house,,,
15/12/2018,24,Avalon Beach,2107,1715000,3,2,2,house,,,
15/12/2018,25,Bilgola Plateau,2107,1600000,3,2,2,house,,,
11/12/2018,26,Avalon Beach,2107,2150000,3,1,3,house,,,
5/12/2018,27,Avalon Beach,2107,1800000,5,1,1,house,,,
30/11/2018,28,Bilgola Plateau,2107,1590000,4,2,2,house,,,
28/11/2018,29,Avalon Beach,2107,1765000,3,3,3,house,,,
20/11/2018,30,Avalon Beach,2107,1300000,3,3,1,house,,,
17/11/2018,31,Avalon Beach,2107,1325000,4,2,3,house,,,
16/11/2018,32,Avalon Beach,2107,1810000,5,2,4,house,,,
3/11/2018,33,Avalon Beach,2107,2440000,6,3,2,house,,,
30/10/2018,34,Avalon Beach,2107,1435000,4,2,2,house,,,
20/10/2018,35,Avalon Beach,2107,1550000,4,3,2,house,,,
19/10/2018,36,Avalon Beach,2107,1500000,4,2,2,house,,,
