,Movie,Year,Rated,Released,Runtime,Genre,Director,imdbRating,Actors,Plot,Country
0,Bobby,2006,R,23 Nov 2006,117 min,"Biography, Drama, History",Emilio Estevez,7.0,"Anthony Hopkins, Demi Moore, Sharon Stone","The story of the assassination of U.S. Senator Robert F. Kennedy, who was shot in the early morning hours of June 5, 1968 in the Ambassador Hotel in Los Angeles, California, and twenty-two people in the hotel, whose lives were never ",United States
1,Hum Aapke Hain Koun…!,1994,Not Rated,05 Aug 1994,206 min,"Comedy, Drama, Musical",Sooraj R. Barjatya,7.5,"Madhuri Dixit, Salman Khan, Mohnish Bahl","Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.",India
2,Yeh Jawaani Hai Deewani,2013,Not Rated,31 May 2013,160 min,"Drama, Musical, Romance",Ayan Mukherjee,7.2,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor","Yeh Jawaani Hai Deewani is the story of the relationship between two characters, Bunny &amp; Naina, at two separate but defining times in their lives... first, when they are just out of college and standing on the crossroads of multiple decisions that will shape who and what they become... and then later on, in their late-twenties when they meet again, holding on to certain fulfilled and certain unfulfilled dreams, at a crossroads of another nature this time... how these two characters affect, change, befriend and eventually fall in love with each other is the journey the film aspires to take us on...",India
3,Veer-Zaara,2004,Not Rated,12 Nov 2004,192 min,"Drama, Family, Musical",Yash Chopra,7.8,"Shah Rukh Khan, Preity Zinta, Rani Mukerji",,India
4,Umrao Jaan,2006,N/A,03 Nov 2006,188 min,"Drama, Romance",J.P. Dutta,5.5,"Aishwarya Rai Bachchan, Shabana Azmi, Sunil Shetty","J.P. Dutta's adaption of the Urdu novel ""Umrao Jan Ada"" by Mirza Haadi Ruswa (1905).",India
5,Swades,2004,Not Rated,17 Dec 2004,189 min,Drama,Ashutosh Gowariker,8.2,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,India
6,Salaam Bombay!,1988,Not Rated,07 Oct 1988,113 min,"Crime, Drama",Mira Nair,8.0,"Shafiq Syed, Anjaan, Amrit Patel","Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India.","United States, India, France, United Kingdom"
7,Mujhse Dosti Karoge!,2002,Not Rated,09 Aug 2002,149 min,"Comedy, Drama, Family",Kunal Kohli,5.1,"Hrithik Roshan, Kareena Kapoor, Rani Mukerji",A young man in England regularly mails his childhood sweetheart in India is unaware that the replies he receives are written by another girl.,India
8,Lage Raho Munna Bhai,2006,Not Rated,01 Sep 2006,144 min,"Comedy, Drama, Romance",Rajkumar Hirani,8.0,"Sanjay Dutt, Arshad Warsi, Vidya Balan",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,India
9,Ardh Satya,1983,N/A,18 Nov 1983,130 min,"Crime, Drama",Govind Nihalani,8.2,"Om Puri, Smita Patil, Amrish Puri","A newly appointed police rookie deals with corruption, romance, and brutality.",India
10,Hera Pheri,2000,Not Rated,31 Mar 2000,156 min,"Action, Comedy, Crime",Priyadarshan,8.2,"Akshay Kumar, Sunil Shetty, Paresh Rawal","Baburao is a landlord in India, who is very near-sighted, and always in financial trouble. He has a tenant named Raja, who has not paid his rent for several months. He also has anther tenant named Shyam, who has come to the city to look for a job in his late father's place, but is unable to find employment. The three men quarrel amongst themselves frequently.",India
11,Bhaag Milkha Bhaag,2013,Not Rated,12 Jul 2013,186 min,"Biography, Drama, Sport",Rakeysh Omprakash Mehra,8.2,"Farhan Akhtar, Sonam Kapoor, Pawan Malhotra",The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,India
12,Dhobi Ghat,2010,Not Rated,21 Jan 2011,100 min,Drama,Kiran Rao,7.0,"Prateik, Monica Dogra, Kriti Malhotra","Dhobi Ghat (Mumbai Diaries) is the story of four people from very different backgrounds, whose worlds intersect and leave them forever altered. As they find themselves drawn into compelling relationships, the city finds its way into the crevices of their lives, separating them even as it brings them closer... Fragments of their experience - seen through a naÃ¯ve video diary, black and white photographic images and painting - form a portrait of Mumbai and its people, bound together as they journey through longing, loneliness, loss and love.
",India
13,Kati Patang,1970,Not Rated,19 Mar 1980,167 min,"Drama, Family, Musical",Shakti Samanta,7.2,"Rajesh Khanna, Asha Parekh, Prem Chopra",A runaway bride promises her dying widowed friend that she will assume her identity and look after her infant child.,India
14,Black Friday,2004,Not Rated,09 Feb 2007,143 min,"Action, Crime, Drama",Anurag Kashyap,8.5,"Kay Kay Menon, Pawan Malhotra, Aditya Srivastav","A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",India
15,Gangs of Wasseypur: Part One,,,,,,,,,,
16,Arth,1982,N/A,03 Dec 1982,138 min,"Drama, Romance",Mahesh Bhatt,7.9,"Shabana Azmi, Kulbhushan Kharbanda, Smita Patil, Raj Kiran",A film-maker who is having an extra-marital affair with an actress decides to leave his wife. Arth is the story of this women's search for her identity.,India
17,Dhoom,2004,Not Rated,27 Aug 2004,129 min,"Action, Crime, Drama",Sanjay Gadhvi,6.7,"Abhishek Bachchan, John Abraham, Uday Chopra","A mysterious gang of bikers is on a robbing spree. ACP Jai gets Ali, a mechanic, to assist him in the case. With the clock ticking, it's up to them to nab the thieves red-handed.",India
18,Kahaani,2012,Not Rated,09 Mar 2012,122 min,"Mystery, Thriller",Sujoy Ghosh,8.1,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",India
19,Dabangg,2010,Not Rated,10 Sep 2010,126 min,"Action, Comedy, Crime",Abhinav Kashyap,6.2,"Salman Khan, Sonakshi Sinha, Sonu Sood",,India
20,Black,2005,Not Rated,04 Feb 2005,122 min,Drama,Sanjay Leela Bhansali,8.2,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel","The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.","India, United States"
21,Gangster,2006,Not Rated,28 Apr 2006,123 min,"Action, Crime, Drama",Anurag Basu,7.1,"Kangana Ranaut, Shiney Ahuja, Emraan Hashmi","In Seoul, a gangster's alcoholic moll falls in love with another man.",India
22,Bandit Queen,1994,Not Rated,30 Jun 1995,119 min,"Biography, Crime, Drama",Shekhar Kapur,7.6,"Seema Biswas, Nirmal Pandey, Rajesh Vivek",The story of the bandit queen Phoolan Devi who was sent to prison in 1983 and got free in 1994.,India
23,Kabhie Kabhie,1976,Not Rated,27 Feb 1976,177 min,"Drama, Romance",Yash Chopra,7.4,"Amitabh Bachchan, Shashi Kapoor, Rakhee Gulzar",Kabhi Kabhie is a movie about the love story of generations and how a chain of events brings together old lovers as friends.,India
24,Udaan,2010,Not Rated,16 Jul 2010,134 min,Drama,Vikramaditya Motwane,8.2,"Rajat Barmecha, Ronit Roy, Manjot Singh","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",India
25,Zubeidaa,2001,Unrated,19 Jan 2001,153 min,"Biography, Drama, History, Musical, Romance",Shyam Benegal,6.2,"Karisma Kapoor, Rekha, Manoj Bajpayee, Rajit Kapoor","Zubeidaa, an aspiring Muslim actress, marries a Sikh prince to become his second wife. Her tumultuous relationship with her husband, and her inner demons lead her to a decision which has fatal consequences for them all.",India
26,Teesri Kasam,1966,N/A,N/A,159 min,"Comedy, Drama, Romance",Basu Bhattacharya,7.9,"Raj Kapoor, Waheeda Rehman, Dulari, Iftekhar",A naive bullock-cart driver falls for a traveling courtesan.,India
27,Naseeb,1981,N/A,01 May 1981,197 min,"Action, Musical, Romance",Manmohan Desai,7.1,"Amitabh Bachchan, Shatrughan Sinha, Rishi Kapoor",A lottery ticket changes the lives of four friends.,India
28,Zanjeer,1973,Not Rated,11 May 1973,145 min,"Action, Crime, Drama",Prakash Mehra,7.6,"Amitabh Bachchan, Jaya Bachchan, Pran","A tough and honest police officer clashes with a crime boss who, unbeknownst to him, happens to be his parents' murderer.",India
29,Omkara,2006,Not Rated,28 Jul 2006,155 min,"Action, Crime, Drama",Vishal Bhardwaj,8.1,"Ajay Devgn, Kareena Kapoor, Saif Ali Khan",A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,India
30,Chhoti Si Baat,1976,N/A,09 Jan 1976,123 min,"Comedy, Romance",Basu Chatterjee,8.3,"Ashok Kumar, Vidya Sinha, Amol Palekar",A timid suitor seeks the help of a ruthless colonel to win the woman of his dreams when a bold young man begins to pursue her in this romantic comedy.,India
31,Jewel Thief,1967,N/A,27 Oct 1967,186 min,"Crime, Drama, Musical, Mystery, Thriller",Vijay Anand,8.0,"Ashok Kumar, Dev Anand, Vyjayanthimala, Tanuja",A Police Commissioner's son comes under suspicion for being a jewel thief.,India
32,Devdas,2002,Not Rated,12 Jul 2002,185 min,"Drama, Musical, Romance",Sanjay Leela Bhansali,7.6,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",India
33,Gunga Jumna,1961,N/A,25 Aug 1966,178 min,"Action, Drama, Musical",Nitin Bose,7.6,"Dilip Kumar, Vyjayanthimala, Nasir Khan","Gungaram, a poor, indebted farmer, works hard to educate his younger brother Jumna and make him a police officer. Years later, circumstances force Gungaram to become an outlaw and now the brothers confront each other as enemies.",India
34,Madhumati,1958,N/A,12 Sep 1958,110 min,"Fantasy, Musical, Mystery",Bimal Roy,8.0,"Dilip Kumar, Vyjayanthimala, Johnny Walker","A young man takes shelter in a mansion when a landslide blocks his route to the railway station. Then, he finds the mansion familiar and soon learns about the story of his previous birth.",India
35,Chandni,1989,PG,14 Sep 1989,186 min,"Drama, Musical, Romance",Yash Chopra,6.8,"Sridevi, Rishi Kapoor, Vinod Khanna",Fate leaves Chandni shattered as her love Rohit disappears from her life. She meets Lalit and they befriend each other until Rohit knocks on her door.,India
36,Jagte Raho,,,,,,,,,,
37,Secret Superstar,2017,Not Rated,18 Oct 2017,150 min,"Drama, Music",Advait Chandan,7.8,"Zaira Wasim, Meher Vij, Raj Arjun",A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,India
38,Sharmeelee,1971,N/A,24 Apr 1981,164 min,"Mystery, Musical, Romance",Samir Ganguly,7.0,"Shashi Kapoor, Rakhee Gulzar, Nasir Hussain","An army captain falls for an outgoing young woman, but unknowingly weds her shy twin sister.",India
39,Parineeta,2005,Not Rated,10 Jun 2005,130 min,"Drama, Musical, Romance",Pradeep Sarkar,7.2,"Vidya Balan, Saif Ali Khan, Sanjay Dutt",The lifelong romance between Lolita (Balan) and Shekar (Khan) is upset by the arrival of another man.,India
40,Lootera,2013,Not Rated,05 Jul 2013,136 min,"Drama, Romance",Vikramaditya Motwane,7.3,"Ranveer Singh, Sonakshi Sinha, Barun Chanda","An aristocrat's daughter falls in love with a visiting archaeologist, but he holds a secret that could drive them apart.",India
41,Hum Hain Rahi Pyar Ke,1993,N/A,05 Jul 1993,163 min,"Comedy, Drama, Romance",Mahesh Bhatt,7.4,"Aamir Khan, Juhi Chawla, Sharokh Bharucha",Rahul Malhotra (Aamir Khan) is the manager of the heavily in debt family business. He is also the guardian of his dead sister's mischievous kids. Rahul hires Vaijayanti (Juhi Chawla) as governess. Vaijayanti is a runaway from home as,India
42,Garam Hawa,,,,,,,,,,
